question,1,2,3,4,answer
"By the time the director arrives, the finance division [MASK] the financial statements for the investors meeting scheduled on Friday. ",will have completed ,is completing ,will complete ,has been completing,will have completed 
Patricia Evans [MASK] for an employee from a cleaning service to inspect the office building and give an estimate. ,promoted ,adjusted ,modified ,arranged,arranged
"During the promotional period, guests will receive a [MASK] spa service at Spa World if they stay for a weekend at the White Sand Hotel. ",congratulatory ,sympathetic ,grateful ,complimentary,complimentary
Dr. Solara will assist the interns with their first major experiment to ensure that they conduct it [MASK] . ,supportively ,decidedly ,properly ,constantly,properly 
Customers may learn more about our laundry and cleaning services by reading the [MASK] brochure. ,enclosed,locked ,estimated ,shaped,enclosed 
"With the fitness program, Ms. Bankers successfully reduced her weight [MASK] 153 pounds to 127 pounds. ",from ,between ,without ,against,from 
"The newspaper’s opinion columnists are allowed to write on a subject matter of their choice, but features writers must obtain [MASK] first. ",approving ,approve ,approved ,approval,approval
The receptionist told Steven Bell that [MASK] dental appointment had been canceled because he had not confirmed it the previous week. ,him ,he ,himself ,his,his
Customers are requested to [MASK] their questions and comments to the product feedback center via e-mail as the company does not entertain phone calls. ,manage ,direct ,label ,pursue,direct 
The university will be holding a campus-wide [MASK] event next week in recognition of the students' diverse ethnic backgrounds. ,cultured,culture ,culturally ,cultural,cultural
"For security purposes, all of the delegates to the science convention will wear electronic identification badges [MASK] their lapels. ",in,to ,of ,on ,on 
"On the day before the holiday break, the manager let the workers out a few hours early [MASK] they could do some shopping. ",except for ,so that ,even though ,mainly,so that 
"To encourage its sales agents to stay [MASK] , Dumas Insurance provides them with quarterly performance bonuses in addition to their regular commissions. ",productive ,worthwhile ,rewarding ,abundant,productive 
"After working as assistant to Cortland Couture’s director for nearly five years, Stella Vandyke launched [MASK] own fashion house with Guy Patou as her clothing designer ",she ,her ,hers ,herself,her 
Students who completed an internship this term are required to submit a [MASK] description of the work they accomplished to their faculty advisors ,brief,briefly ,briefing ,briefed ,brief 
"[MASK] Jack Burns made a reservation at the Grand Hotel, the receptionist said that they had no such request in their records. ",Whenever ,Although ,Until ,Except for,Although 
New employees are requested to watch the software demonstration [MASK] and to ask questions at the end of the presentation. ,closely ,closed ,closer ,closing,closely 
"During the launch of the new cosmetics line, [MASK] will be distributed to shoppers who visit the store. ",portions ,samples ,layouts ,standards,samples 
[MASK] is allowed to enter the conference room while the investors meeting is ongoing unless there is an emergency. ,Whoever,No one ,Another ,Each other,No one 
The boiler in the apartment unit on the third floor was beyond repair and [MASK] had to be replaced. ,accordingly ,successively ,respectively ,cooperatively,accordingly 
The manager learned that there was an insect infestation [MASK] the building and was obligated to have it cleaned. ,including ,beyond ,amongst ,throughout,throughout
Various environmental groups are collaborating on a campaign that aims to [MASK] the use of recycled materials in manufacturing products. ,form ,emerge ,appear ,promote,promote
It usually takes [MASK] thirty and forty-five minutes to process a money transfer transaction at Mason Bank. ,between,around ,without ,except,between 
Store hours at all restaurants on Bliss Street will be [MASK] until 3 A.M. during the Firefly Festival. ,noticed ,progressed ,extended ,recognized ,extended 
Employees who [MASK] to attend the event for part of the day only should inform their supervisor and explain why. ,planning ,plan ,plans ,to plan,plan 
Very few individuals signed up for the computer course [MASK] the training center offered to seniors for free. ,who ,whom ,whose ,that,that
"With the recent increase in room rates at big hotels, most of the delegates to the [MASK] made reservations at small hotels in the city. ",convention ,agreement ,legislation ,preference,convention 
The lodge staff asked the guest to store [MASK] valuables in the safe to prevent them from getting stolen. ,his ,he ,himself ,him,his 
The community center now has a website where [MASK] events for members and their families are posted on a monthly basis. ,conscious ,inevitable ,upcoming ,alarming,upcoming 
"The sponsor will [MASK] late registrants to the technology convention, but it cannot guarantee that lodging will be available. ",permitted ,permits ,permit ,permission,permit 
"As one of the ushers at this year’s conference, [MASK] are responsible for guiding the attendees to their designated seats. ",yours ,yourself ,you ,your,you 
". [MASK] Chiriman Holdings took over Nobusen Pharmaceuticals, the company will still retain the medicine manufacturer’s employees. ",Once,Although ,Therefore ,When,Although 
"During the recession, the consultant was [MASK] available to help the unemployed find jobs appropriate for their skills. ",continuously,continuous ,continuation ,continuing ,continuously 
Bill Schriver called in to say that he had not decided [MASK] to give the keynote speech at the medical assembly in August. ,even if ,whether ,though ,until,whether 
"The children’s parade organized by the local government will head [MASK] the park, after which participants will join in fun and games. ",between ,along ,toward ,throughout,toward 
"Although most people want to end the yearlong conflict in the region, they are [MASK] to use military force. ",sympathetic ,confident ,suspicious ,reluctant,reluctant
A bank client requested an [MASK] in her bank records after receiving a statement of accounts with an error. ,adjusted ,adjust ,adjustment ,adjusting,adjustment 
A non-governmental organization received funding to conduct a [MASK] to teach families in low-income areas about proper nutrition. ,profession ,trade ,mission ,concern,mission 
The people rescued during the flash flood were [MASK] grateful to the police department for their courage and quick thinking. ,overwhelming ,overwhelmed ,overwhelm ,overwhelmingly,overwhelmingly
The sales of Vaneeti Beverages Incorporated [MASK] relatively stable in the past year despite the emergence of new market competitors. ,remains ,is remaining ,to remain ,have remained,have remained
"The restaurant’s special 3-course dinner is a set menu consisting of an appetizer, a soup and an entrée, but patrons may select [MASK] they want from the dessert menu. ",that ,wherever ,which ,whatever,whatever
Kettles that utilize a new technology consisting of a coating of tiny copper rods heat water [MASK] than kettles that are manufactured in the conventional way. ,so fast,fastest ,faster ,very fast,faster 
